gazetteerId_村志代码,villageInnerId_村庄内部代码,categoryId_类别代码,unitId_单位代码,data_数据
463,463,2,2,1466.5
463,463,3,1,17.8
464,464,1,3,NULL
464,464,2,2,1700
464,464,3,1,18
465,465,1,3,NULL
465,465,2,2,1362
465,465,3,1,17
468,468,1,3,1305
468,468,2,2,580
468,468,3,1,8.8
470,470,1,3,76.7
470,470,2,2,1310
470,470,3,1,21.6
471,471,1,3,744.5
471,471,2,2,460
471,471,3,1,9.8
474,474,1,3,1790
474,474,2,2,460
474,474,3,1,6.7
476,476,1,3,NULL
476,476,2,2,1392.5
476,476,3,1,18.6
477,477,1,3,82.1
477,477,2,2,633.7
477,477,3,1,13.4
478,478,1,3,150
478,478,2,2,1200
478,478,3,1,14.6
479,479,1,3,NULL
479,479,2,2,713.6
479,479,3,1,8.8
481,481,1,3,395
481,481,2,2,NULL
481,481,3,1,NULL
482,482,1,3,NULL
482,482,2,2,1464
482,482,3,1,16
483,483,1,3,800
483,483,2,2,1423.2
483,483,3,1,15.9
484,484,1,3,600
484,484,2,2,400
484,484,3,1,10
485,485,1,3,NULL
485,485,2,2,NULL
485,485,3,1,16.8
486,486,1,3,NULL
486,486,2,2,623.6
486,486,3,1,8.3
488,488,1,3,600
488,488,2,2,488.3
488,488,3,1,12.7
489,489,1,3,NULL
489,489,2,2,646
489,489,3,1,14.2
490,490,1,3,NULL
490,490,2,2,1200
490,490,3,1,26.6
491,491,1,3,236
491,491,2,2,NULL
491,491,3,1,NULL
492,492,1,3,NULL
492,492,2,2,800
492,492,3,1,7
493,493,1,3,1563
493,493,2,2,114.7
493,493,3,1,NULL
494,494,1,3,NULL
494,494,2,2,527.1
494,494,3,1,12.4
496,496,1,3,NULL
496,496,2,2,NULL
496,496,3,1,21.8
497,497,1,3,NULL
497,497,2,2,500
497,497,3,1,15.5
498,498,1,3,922
498,498,2,2,550
498,498,3,1,3
499,499,1,3,NULL
499,499,2,2,NULL
499,499,3,1,16.2
501,501,1,3,NULL
501,501,2,2,1332
501,501,3,1,19.5
502,502,1,3,NULL
502,502,2,2,538.2
502,502,3,1,13.2
503,503,1,3,NULL
503,503,2,2,577.4
503,503,3,1,NULL
504,504,1,3,NULL
504,504,2,2,550
504,504,3,1,12.5
505,505,1,3,NULL
505,505,2,2,NULL
505,505,3,1,17
506,506,1,3,NULL
506,506,2,2,1800
506,506,3,1,21.8
507,507,1,3,NULL
507,507,2,2,1300
507,507,3,1,16.2
508,508,1,3,335
508,508,2,2,500
508,508,3,1,13.5
509,509,1,3,NULL
509,509,2,2,888
509,509,3,1,14.6
510,510,1,3,NULL
510,510,2,2,562
510,510,3,1,15
511,511,1,3,NULL
511,511,2,2,736.6
511,511,3,1,NULL
512,512,1,3,NULL
512,512,2,2,NULL
512,512,3,1,14.3
513,513,1,3,NULL
